10/27/2016,30,3,0,ACN
10/12/2016,25,3,1,ACN
10/05/2016,44,6,2,ACN
09/26/2016,34,1,1,ACN
09/22/2016,33,2,0,ACN
09/22/2016,62,3,1,ACN
08/22/2016,29,4,0,ACN
07/28/2016,20,1,0,ACN
07/19/2016,34,0,0,ACN
07/13/2016,25,3,2,ACN
07/11/2016,30,4,0,ACN
06/23/2016,209,6,4,ACN
06/01/2016,40,3,2,ACN
05/09/2016,26,1,1,ACN
04/04/2016,55,3,1,ACN
01/04/2016,19,0,0,ACN
12/21/2015,11,0,0,ACN
12/17/2015,82,2,4,ACN
12/15/2015,24,2,1,ACN
12/10/2015,59,6,3,ACN
12/09/2015,40,4,0,ACN
11/02/2015,16,0,0,ACN
10/22/2015,43,0,0,ACN
09/24/2015,66,0,0,ACN
09/24/2015,100,8,2,ACN
09/23/2015,21,1,0,ACN
09/22/2015,52,3,3,ACN
09/21/2015,33,2,0,ACN
09/15/2015,57,4,0,ACN
09/09/2015,20,1,0,ACN
09/08/2015,18,1,0,ACN
09/03/2015,62,3,1,ACN
08/17/2015,34,1,0,ACN
08/17/2015,18,1,0,ACN
07/22/2015,13,0,1,ACN
07/21/2015,45,3,3,ACN
07/20/2015,65,1,0,ACN
07/13/2015,57,4,0,ACN
07/02/2015,77,5,2,ACN
07/01/2015,131,9,3,ACN
06/25/2015,66,0,0,ACN
06/24/2015,40,3,0,ACN
06/24/2015,59,2,0,ACN
05/18/2015,27,1,0,ACN
05/13/2015,121,16,3,ACN
05/06/2015,19,0,0,ACN
02/09/2017,96,10,1,ATVI
02/06/2017,56,8,1,ATVI
12/08/2016,11,1,0,ATVI
11/03/2016,60,8,0,ATVI
09/27/2016,48,7,1,ATVI
08/24/2016,96,15,1,ATVI
08/04/2016,137,6,0,ATVI
06/23/2016,19,0,0,ATVI
01/15/2016,40,0,2,ATVI
01/04/2016,40,2,0,ATVI
11/03/2015,46,4,0,ATVI
08/04/2015,77,0,0,ATVI
05/20/2015,83,4,2,ATVI
05/06/2015,73,0,0,ATVI
04/04/2017,40,3,0,AYI
10/05/2016,79,4,1,AYI
07/07/2016,9,0,0,AYI
06/29/2016,33,0,0,AYI
04/01/2016,24,1,0,AYI
01/06/2016,23,1,0,AYI
12/10/2015,34,2,0,AYI
10/30/2015,81,3,3,AYI
10/29/2015,51,4,1,AYI
10/02/2015,22,1,0,AYI
06/28/2015,57,5,0,AYI
06/26/2015,19,1,0,AYI
02/01/2017,62,4,3,ADBE
01/31/2017,21,2,0,ADBE
07/21/2016,20,0,0,ADBE
07/21/2016,25,3,0,ADBE
06/21/2016,64,3,0,ADBE
04/07/2016,238,9,11,ADBE
12/10/2015,59,6,3,ADBE
09/02/2015,186,5,6,ADBE
04/29/2015,88,7,3,ADBE
03/23/2017,55,6,1,AAP
03/06/2017,28,2,0,AAP
02/21/2017,66,7,1,AAP
02/06/2017,95,18,0,AAP
10/05/2016,43,5,1,AAP
08/16/2016,44,4,1,AAP
07/29/2016,47,5,0,AAP
05/19/2016,144,9,4,AAP
05/18/2016,27,4,3,AAP
03/07/2016,32,3,1,AAP
11/12/2015,45,4,2,AAP
05/21/2015,30,1,1,AAP
05/21/2015,23,2,0,AAP
03/22/2017,28,2,0,AES
03/14/2017,40,0,0,AES
03/08/2017,21,1,0,AES
02/27/2017,132,7,2,AES
02/24/2017,113,8,3,AES
12/01/2016,43,5,0,AES
11/04/2016,97,7,0,AES
08/05/2016,56,5,1,AES
06/16/2016,80,6,1,AES
05/11/2016,24,2,0,AES
05/11/2016,24,2,0,AES
05/09/2016,98,8,0,AES
04/14/2016,186,4,5,AES
02/24/2016,9,0,0,AES
12/14/2015,61,7,2,AES
11/05/2015,9,0,0,AES
10/16/2015,24,2,1,AES
08/10/2015,13,0,0,AES
07/17/2015,26,2,1,AES
05/18/2015,82,9,0,AES
05/13/2015,69,6,0,AES
05/11/2015,25,0,0,AES
03/21/2017,38,5,0,AET
02/22/2017,102,7,1,AET
02/17/2017,54,9,2,AET
02/02/2017,31,2,2,AET
01/31/2017,73,6,0,AET
01/23/2017,15,0,1,AET
12/22/2016,29,4,1,AET
10/27/2016,77,7,0,AET
09/30/2016,8,0,0,AET
09/06/2016,22,2,0,AET
08/17/2016,28,1,0,AET
08/05/2016,50,5,2,AET
08/03/2016,25,5,0,AET
08/03/2016,183,15,2,AET
08/02/2016,40,2,1,AET
08/02/2016,95,9,5,AET
08/02/2016,106,9,0,AET
07/27/2016,46,2,1,AET
07/26/2016,73,11,2,AET
07/21/2016,57,3,1,AET
07/21/2016,70,5,3,AET
07/21/2016,182,14,2,AET
07/21/2016,28,1,4,AET
07/21/2016,27,2,1,AET
07/20/2016,24,3,1,AET
07/19/2016,56,6,3,AET
07/13/2016,38,7,0,AET
06/24/2016,24,1,0,AET
06/07/2016,37,3,0,AET
05/25/2016,20,1,0,AET
02/19/2016,30,3,1,AET
12/18/2015,37,4,0,AET
12/04/2015,30,3,1,AET
10/29/2015,11,1,0,AET
10/28/2015,14,3,0,AET
09/25/2015,29,3,0,AET
08/04/2015,35,4,0,AET
07/03/2015,197,18,8,AET
05/18/2015,229,15,5,AET
05/15/2015,23,1,1,AET
04/28/2015,20,1,0,AET
01/30/2017,116,5,0,AMG
10/31/2016,65,4,0,AMG
08/01/2016,72,3,0,AMG
06/07/2016,40,3,0,AMG
06/06/2016,17,2,0,AMG
06/06/2016,79,13,0,AMG
06/06/2016,170,12,2,AMG
09/22/2015,61,3,0,AMG
01/31/2017,120,5,0,AFL
01/20/2017,14,1,1,AFL
02/01/2016,25,1,0,AFL
10/27/2015,79,3,0,AFL
07/28/2015,33,1,0,AFL
07/28/2015,23,1,1,AFL
06/24/2015,34,0,2,AFL
04/28/2015,23,1,1,AFL
02/02/2017,19,1,0,A
12/20/2016,72,4,0,A
11/17/2016,18,2,0,A
11/15/2016,107,7,0,A
09/29/2016,30,1,0,A
08/17/2016,104,8,0,A
08/09/2016,42,2,1,A
05/16/2016,133,8,1,A
01/06/2016,50,2,2,A
12/08/2015,59,2,1,A
11/19/2015,33,3,1,A
11/16/2015,63,2,0,A
10/12/2015,52,3,1,A
09/16/2015,30,2,1,A
09/09/2015,34,1,1,A
08/26/2015,53,3,1,A
08/17/2015,69,2,0,A
05/28/2015,136,9,1,A
05/20/2015,25,2,0,A
05/18/2015,71,2,0,A
05/04/2015,20,2,0,A
04/05/2017,20,0,0,APD
03/24/2017,29,1,0,APD
